national_poke_num,name,type_one,type_two,generation,total_points,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed
1,Bulbasaur,GRASS,POISON,1,318,45,49,49,65,65,45
2,Ivysaur,GRASS,POISON,1,405,60,62,63,80,80,60
3,Venusaur (Mega Venusaur),GRASS,POISON,1,625,80,100,123,122,120,80
3,Venusaur,GRASS,POISON,1,525,80,82,83,100,100,80
4,Charmander,FIRE,,1,309,39,52,43,60,50,65
5,Charmeleon,FIRE,,1,405,58,64,58,80,65,80
6,Charizard (Mega Charizard X),FIRE,DRAGON,1,634,78,130,111,130,85,100
6,Charizard,FIRE,FLYING,1,534,78,84,78,109,85,100
6,Charizard (Mega Charizard Y),FIRE,FLYING,1,634,78,104,78,159,115,100
7,Squirtle,WATER,,1,314,44,48,65,50,64,43;
8,Wartortle,WATER,,1,405,59,63,80,65,80,58;
9,Blastoise (Mega Blastoise),WATER,,1,630,79,103,120,135,115,78
9,Blastoise,WATER,,1,530,79,83,100,85,105,78
10,Caterpie,BUG,,1,195,45,30,35,20,20,45
11,Metapod,BUG,,1,205,50,20,55,25,25,30
12,Butterfree,BUG,FLYING,1,395,60,45,50,90,80,70
13,Weedle,BUG,POISON,1,195,40,35,30,20,20,50
14,Kakuna,BUG,POISON,1,205,45,25,50,25,25,35
15,Beedrill (Mega Beedril),BUG,POISON,1,495,65,150,40,15,80,145
15,Beedrill,BUG,POISON,1,395,65,90,40,45,80,75
16,Pidgey,NORMAL,FLYING,1,251,40,45,40,35,35,56
17,Pidgeotto,NORMAL,FLYING,1,349,63,60,55,50,50,71
18,Pidgeot (Mega Pidgeot),NORMAL,FLYING,1,579,83,80,80,135,80,121
18,Pidgeot,NORMAL,FLYING,1,479,83,80,75,70,70,101
19,Rattata,NORMAL,,1,253,30,56,35,25,35,72
20,Raticate,NORMAL,,1,413,55,81,60,50,70,97
21,Spearow,NORMAL,FLYING,1,262,40,60,30,31,31,70
22,Fearow,NORMAL,FLYING,1,442,65,90,65,61,61,100
23,Ekans,POISON,,1,288,35,60,44,40,54,55
24,Arbok,POISON,,1,438,60,85,69,65,79,80
25,Pikachu,ELECTRIC,,1,320,35,55,40,50,50,90
26,Raichu,ELECTRIC,,1,485,60,90,55,90,80,110
27,Sandshrew,GROUND,,1,300,50,75,85,20,30,40
28,Sandslash,GROUND,,1,450,75,100,110,45,55,65
29,Nidoran (Female),POISON,,1,275,55,47,52,40,40,41
30,Nidorina,POISON,,1,365,70,62,67,55,55,56
31,Nidoqueen,POISON,GROUND,1,505,90,92,87,75,85,76
32,Nidoran (Male),POISON,,1,273,46,57,40,40,40,50
33,Nidorino,POISON,,1,365,61,72,57,55,55,65
34,Nidoking,POISON,GROUND,1,505,81,102,77,85,75,85
35,Clefairy,FAIRY,,1,323,70,45,48,60,65,35
36,Clefable,FAIRY,,1,483,95,70,73,95,90,60
37,Vulpix,FIRE,,1,299,38,41,40,50,65,65
38,Ninetales,FIRE,,1,505,73,76,75,81,100,100
39,Jigglypuff,NORMAL,FAIRY,1,270,115,45,20,45,25,20
40,Wigglytuff,NORMAL,FAIRY,1,435,140,70,45,85,50,45
41,Zubat,POISON,FLYING,1,245,40,45,35,30,40,55
42,Golbat,POISON,FLYING,1,455,75,80,70,65,75,90
43,Oddish,GRASS,POISON,1,320,45,50,55,75,65,30
44,Gloom,GRASS,POISON,1,395,60,65,70,85,75,40
45,Vileplume,GRASS,POISON,1,490,75,80,85,110,90,50
46,Paras,BUG,GRASS,1,285,35,70,55,45,55,25
47,Parasect,BUG,GRASS,1,405,60,95,80,60,80,30
48,Venonat,BUG,POISON,1,305,60,55,50,40,55,45
49,Venomoth,BUG,POISON,1,450,70,65,60,90,75,90
50,Diglett,GROUND,,1,265,10,55,25,35,45,95
51,Dugtrio,GROUND,,1,405,35,80,50,50,70,120
52,Meowth,NORMAL,,1,290,40,45,35,40,40,90
53,Persian,NORMAL,,1,440,65,70,60,65,65,115
54,Psyduck,WATER,,1,320,50,52,48,65,50,55
55,Golduck,WATER,,1,500,80,82,78,95,80,85
56,Mankey,FIGHTING,,1,305,40,80,35,35,45,70
57,Primeape,FIGHTING,,1,455,65,105,60,60,70,95
58,Growlithe,FIRE,,1,350,55,70,45,70,50,60
59,Arcanine,FIRE,,1,555,90,110,80,100,80,95
60,Poliwag,WATER,,1,300,40,50,40,40,40,90
61,Poliwhirl,WATER,,1,385,65,65,65,50,50,90
62,Poliwrath,WATER,FIGHTING,1,510,90,95,95,70,90,70
63,Abra,PSYCHIC,,1,310,25,20,15,105,55,90
64,Kadabra,PSYCHIC,,1,400,40,35,30,120,70,105
65,Alakazam,PSYCHIC,,1,500,55,50,45,135,95,120
65,Alakazam (Mega Alakazam),PSYCHIC,,1,590,55,50,65,175,95,150
66,Machop,FIGHTING,,1,305,70,80,50,35,35,35
67,Machoke,FIGHTING,,1,405,80,100,70,50,60,45
68,Machamp,FIGHTING,,1,505,90,130,80,65,85,55
69,Bellsprout,GRASS,POISON,1,300,50,75,35,70,30,40
70,Weepinbell,GRASS,POISON,1,390,65,90,50,85,45,55
71,Victreebel,GRASS,POISON,1,490,80,105,65,100,70,70
72,Tentacool,WATER,POISON,1,335,40,40,35,50,100,70
73,Tentacruel,WATER,POISON,1,515,80,70,65,80,120,100
74,Geodude,ROCK,GROUND,1,300,40,80,100,30,30,20
75,Graveler,ROCK,GROUND,1,390,55,95,115,45,45,35
76,Golem,ROCK,GROUND,1,495,80,120,130,55,65,45
77,Ponyta,FIRE,,1,410,50,85,55,65,65,90
78,Rapidash,FIRE,,1,500,65,100,70,80,80,105
79,Slowpoke,WATER,PSYCHIC,1,315,90,65,65,40,40,15
80,Slowbro (Mega Slowbro),WATER,PSYCHIC,1,590,95,75,180,130,80,30
80,Slowbro,WATER,PSYCHIC,1,490,95,75,110,100,80,30
81,Magnemite,ELECTRIC,STEEL,1,325,25,35,70,95,55,45
82,Magneton,ELECTRIC,STEEL,1,465,50,60,95,120,70,70
83,Farfetch'd,NORMAL,FLYING,1,352,52,65,55,58,62,60
84,Doduo,NORMAL,FLYING,1,310,35,85,45,35,35,75
85,Dodrio,NORMAL,FLYING,1,460,60,110,70,60,60,100
86,Seel,WATER,,1,325,65,45,55,45,70,45
87,Dewgong,WATER,ICE,1,475,90,70,80,70,95,70
88,Grimer,POISON,,1,325,80,80,50,40,50,25
89,Muk,POISON,,1,500,105,105,75,65,100,50
90,Shellder,WATER,,1,305,30,65,100,45,25,40
91,Cloyster,WATER,ICE,1,525,50,95,180,85,45,70
92,Gastly,GHOST,POISON,1,310,30,35,30,100,35,80
93,Haunter,GHOST,POISON,1,405,45,50,45,115,55,95
94,Gengar,GHOST,POISON,1,500,60,65,60,130,75,110
94,Gengar (Mega Gengar),GHOST,POISON,1,600,60,65,80,170,95,130
95,Onix,ROCK,GROUND,1,385,35,45,160,30,45,70
96,Drowzee,PSYCHIC,,1,328,60,48,45,43,90,42
97,Hypno,PSYCHIC,,1,483,85,73,70,73,115,67
98,Krabby,WATER,,1,325,30,105,90,25,25,50
99,Kingler,WATER,,1,475,55,130,115,50,50,75
100,Voltorb,ELECTRIC,,1,330,40,30,50,55,55,100
101,Electrode,ELECTRIC,,1,480,60,50,70,80,80,140
102,Exeggcute,GRASS,PSYCHIC,1,325,60,40,80,60,45,40
103,Exeggutor,GRASS,PSYCHIC,1,520,95,95,85,125,65,55
104,Cubone,GROUND,,1,320,50,50,95,40,50,35
105,Marowak,GROUND,,1,425,60,80,110,50,80,45
106,Hitmonlee,FIGHTING,,1,455,50,120,53,35,110,87
107,Hitmonchan,FIGHTING,,1,455,50,105,79,35,110,76
108,Lickitung,NORMAL,,1,385,90,55,75,60,75,30
109,Koffing,POISON,,1,340,40,65,95,60,45,35
110,Weezing,POISON,,1,490,65,90,120,85,70,60
111,Rhyhorn,GROUND,ROCK,1,345,80,85,95,30,30,25
112,Rhydon,GROUND,ROCK,1,485,105,130,120,45,45,40
113,Chansey,NORMAL,,1,450,250,5,5,35,105,50
114,Tangela,GRASS,,1,435,65,55,115,100,40,60
115,Kangaskhan (Mega Kangaskhan),NORMAL,,1,590,105,125,100,60,100,100
115,Kangaskhan,NORMAL,,1,490,105,95,80,40,80,90
116,Horsea,WATER,,1,295,30,40,70,70,25,60
117,Seadra,WATER,,1,440,55,65,95,95,45,85
118,Goldeen,WATER,,1,320,45,67,60,35,50,63
119,Seaking,WATER,,1,450,80,92,65,65,80,68
120,Staryu,WATER,,1,340,30,45,55,70,55,85
121,Starmie,WATER,PSYCHIC,1,520,60,75,85,100,85,115
122,Mr. Mime,PSYCHIC,FAIRY,1,460,40,45,65,100,120,90
123,Scyther,BUG,FLYING,1,500,70,110,80,55,80,105
124,Jynx,ICE,PSYCHIC,1,455,65,50,35,115,95,95
125,Electabuzz,ELECTRIC,,1,490,65,83,57,95,85,105
126,Magmar,FIRE,,1,495,65,95,57,100,85,93
127,Pinsir (Mega Pinsir),BUG,,1,600,65,155,120,65,90,105
127,Pinsir,BUG,,1,500,65,125,100,55,70,85
128,Tauros,NORMAL,,1,490,75,100,95,40,70,110
129,Magikarp,WATER,,1,200,20,10,55,15,20,80
130,Gyarados (Mega Gyarados),WATER,,1,640,95,155,109,70,130,81
130,Gyarados,WATER,FLYING,1,540,95,125,79,60,100,81
131,Lapras,WATER,ICE,1,535,130,85,80,85,95,60
132,Ditto,NORMAL,,1,288,48,48,48,48,48,48
133,Eevee,NORMAL,,1,325,55,55,50,45,65,55
134,Vaporeon,WATER,,1,525,130,65,60,110,95,65
135,Jolteon,ELECTRIC,,1,525,65,65,60,110,95,130
136,Flareon,FIRE,,1,525,65,130,60,95,110,65
137,Porygon,NORMAL,,1,395,65,60,70,85,75,40
138,Omanyte,ROCK,WATER,1,355,35,40,100,90,55,35
139,Omastar,ROCK,WATER,1,495,70,60,125,115,70,55
140,Kabuto,ROCK,WATER,1,355,30,80,90,55,45,55
141,Kabutops,ROCK,WATER,1,495,60,115,105,65,70,80
142,Aerodactyl,ROCK,FLYING,1,515,80,105,65,60,75,130
142,Aerodactyl (Mega Aerodactyl),ROCK,FLYING,1,615,80,135,85,70,95,150
143,Snorlax,NORMAL,,1,540,160,110,65,65,110,30
144,Articuno,ICE,FLYING,1,580,90,85,100,95,125,85
145,Zapdos,ELECTRIC,FLYING,1,580,90,90,85,125,90,100
146,Moltres,FIRE,FLYING,1,580,90,100,90,125,85,90
147,Dratini,DRAGON,,1,300,41,64,45,50,50,50
148,Dragonair,DRAGON,,1,420,61,84,65,70,70,70
149,Dragonite,DRAGON,FLYING,1,600,91,134,95,100,100,80
150,Mewtwo (Mega Mewtwo Y),PSYCHIC,,1,780,106,150,70,194,120,140
150,Mewtwo (Mega Mewtwo X),PSYCHIC,FIGHTING,1,780,106,190,100,154,100,130
150,Mewtwo,PSYCHIC,,1,680,106,110,90,154,90,130
151,Mew,PSYCHIC,,1,600,100,100,100,100,100,100
152,Chikorita,GRASS,,2,318,45,49,65,49,65,45
153,Bayleef,GRASS,,2,405,60,62,80,63,80,60
154,Meganium,GRASS,,2,525,80,82,100,83,100,80
155,Cyndaquil,FIRE,,2,309,39,52,43,60,50,65
156,Quilava,FIRE,,2,405,58,64,58,80,65,80
157,Typhlosion,FIRE,,2,534,78,84,78,109,85,100
158,Totodile,WATER,,2,314,50,65,64,44,48,43
159,Croconaw,WATER,,2,405,65,80,80,59,63,58
160,Feraligatr,WATER,,2,530,85,105,100,79,83,78
161,Sentret,NORMAL,,2,215,35,46,34,35,45,20
162,Furret,NORMAL,,2,415,85,76,64,45,55,90
163,Hoothoot,NORMAL,FLYING,2,262,60,30,30,36,56,50
164,Noctowl,NORMAL,FLYING,2,442,100,50,50,76,96,70
165,Ledyba,BUG,FLYING,2,265,40,20,30,40,80,55
166,Ledian,BUG,FLYING,2,390,55,35,50,55,110,85
167,Spinarak,BUG,POISON,2,250,40,60,40,40,40,30
168,Ariados,BUG,POISON,2,390,70,90,70,60,60,40
169,Crobat,POISON,FLYING,2,535,85,90,80,70,80,130
170,Chinchou,WATER,ELECTRIC,2,330,75,38,38,56,56,67
171,Lanturn,WATER,ELECTRIC,2,460,125,58,58,76,76,67
172,Pichu,ELECTRIC,,2,205,20,40,15,35,35,60
173,Cleffa,FAIRY,,2,218,50,25,28,45,55,15
174,Igglybuff,NORMAL,FAIRY,2,210,90,30,15,40,20,15
175,Togepi,FAIRY,,2,245,35,20,65,40,65,20
176,Togetic,FAIRY,FLYING,2,405,55,40,85,80,105,40
177,Natu,PSYCHIC,FLYING,2,320,40,50,45,70,45,70
178,Xatu,PSYCHIC,FLYING,2,470,65,75,70,95,70,95
179,Mareep,ELECTRIC,,2,280,55,40,40,65,45,35
180,Flaaffy,ELECTRIC,,2,365,70,55,55,80,60,45
181,Ampharos (Mega Ampharos),ELECTRIC,DRAGON,2,610,90,95,105,165,110,45
181,Ampharos,ELECTRIC,,2,510,90,75,85,115,90,55
182,Bellossom,GRASS,,2,490,75,80,95,90,100,50
183,Marill,WATER,FAIRY,2,250,70,20,50,20,50,40
184,Azumarill,WATER,FAIRY,2,420,100,50,80,60,80,50
185,Sudowoodo,ROCK,,2,410,70,100,115,30,65,30
186,Politoed,WATER,,2,500,90,75,75,90,100,70
187,Hoppip,GRASS,FLYING,2,250,35,35,40,35,55,50
188,Skiploom,GRASS,FLYING,2,340,55,45,50,45,65,80
189,Jumpluff,GRASS,FLYING,2,460,75,55,70,55,95,110
190,Aipom,NORMAL,,2,360,55,70,55,40,55,85
191,Sunkern,GRASS,,2,180,30,30,30,30,30,30
192,Sunflora,GRASS,,2,425,75,75,55,105,85,30
193,Yanma,BUG,FLYING,2,390,65,65,45,75,45,95
194,Wooper,WATER,GROUND,2,210,55,45,45,25,25,15
195,Quagsire,WATER,GROUND,2,430,95,85,85,65,65,35
196,Espeon,PSYCHIC,,2,525,65,65,60,130,95,110
197,Umbreon,DARK,,2,525,95,65,110,60,130,65
198,Murkrow,DARK,FLYING,2,405,60,85,42,85,42,91
199,Slowking,WATER,PSYCHIC,2,490,95,75,80,100,110,30
200,Misdreavus,GHOST,,2,435,60,60,60,85,85,85
201,Unown,PSYCHIC,,2,336,48,72,48,72,48,48
202,Wobbuffet,PSYCHIC,,2,405,190,33,58,33,58,33
203,Girafarig,NORMAL,PSYCHIC,2,455,70,80,65,90,65,85
204,Pineco,BUG,,2,290,50,65,90,35,35,15
205,Forretress,BUG,STEEL,2,465,75,90,140,60,60,40
206,Dunsparce,NORMAL,,2,415,100,70,70,65,65,45
207,Gligar,GROUND,FLYING,2,430,65,75,105,35,65,85
208,Steelix (Mega Steelix),STEEL,GROUND,2,610,75,125,230,55,95,30
208,Steelix,STEEL,GROUND,2,510,75,85,200,55,65,30
209,Snubbull,FAIRY,,2,300,60,80,50,40,40,30
210,Granbull,FAIRY,,2,450,90,120,75,60,60,45
211,Qwilfish,WATER,POISON,2,430,65,95,75,55,55,85
212,Scizor (Mega Scizor),BUG,STEEL,2,600,70,150,140,65,100,75
212,Scizor,BUG,STEEL,2,500,70,130,100,55,80,65
213,Shuckle,BUG,ROCK,2,505,20,10,230,10,230,5
214,Heracross,BUG,FIGHTING,2,500,80,125,75,40,95,85
214,Heracross (Mega Heracross),BUG,FIGHTING,2,600,80,185,115,40,105,75
215,Sneasel,DARK,ICE,2,430,55,95,55,35,75,115
216,Teddiursa,NORMAL,,2,330,60,80,50,50,50,40
217,Ursaring,NORMAL,,2,500,90,130,75,75,75,55
218,Slugma,FIRE,,2,250,40,40,40,70,40,20
219,Magcargo,FIRE,ROCK,2,410,50,50,120,80,80,30
220,Swinub,ICE,GROUND,2,250,50,50,40,30,30,50
221,Piloswine,ICE,GROUND,2,450,100,100,80,60,60,50
222,Corsola,WATER,ROCK,2,380,55,55,85,65,85,35
223,Remoraid,WATER,,2,300,35,65,35,65,35,65
224,Octillery,WATER,,2,480,75,105,75,105,75,45
225,Delibird,ICE,FLYING,2,330,45,55,45,65,45,75
226,Mantine,WATER,FLYING,2,465,65,40,70,80,140,70
227,Skarmory,STEEL,FLYING,2,465,65,80,140,40,70,70
228,Houndour,DARK,FIRE,2,330,45,60,30,80,50,65
229,Houndoom (Mega Houndoom),DARK,FIRE,2,600,75,90,90,140,90,115
229,Houndoom,DARK,FIRE,2,500,75,90,50,110,80,95
230,Kingdra,WATER,DRAGON,2,540,75,95,95,95,95,85
231,Phanpy,GROUND,,2,330,90,60,60,40,40,40
232,Donphan,GROUND,,2,500,90,120,120,60,60,50
233,Porygon2,NORMAL,,2,515,85,80,90,105,95,60
234,Stantler,NORMAL,,2,465,73,95,62,85,65,85
235,Smeargle,NORMAL,,2,250,55,20,35,20,45,75
236,Tyrogue,FIGHTING,,2,210,35,35,35,35,35,35
237,Hitmontop,FIGHTING,,2,455,50,95,95,35,110,70
238,Smoochum,ICE,PSYCHIC,2,305,45,30,15,85,65,65
239,Elekid,ELECTRIC,,2,360,45,63,37,65,55,95
240,Magby,FIRE,,2,365,45,75,37,70,55,83
241,Miltank,NORMAL,,2,490,95,80,105,40,70,100
242,Blissey,NORMAL,,2,540,255,10,10,75,135,55
243,Raikou,ELECTRIC,,2,580,90,85,75,115,100,115
244,Entei,FIRE,,2,580,115,115,85,90,75,100
245,Suicune,WATER,,2,580,100,75,115,90,115,85
246,Larvitar,ROCK,GROUND,2,300,50,64,50,45,50,41
247,Pupitar,ROCK,GROUND,2,410,70,84,70,65,70,51
248,Tyranitar,ROCK,DARK,2,600,100,134,110,95,100,61
248,Tyranitar (Mega Tyranitar),ROCK,DARK,2,700,100,164,150,95,120,71
249,Lugia,PSYCHIC,FLYING,2,680,106,90,130,90,154,110
250,Ho-oh,FIRE,FLYING,2,680,106,130,90,110,154,90
251,Celebi,PSYCHIC,GRASS,2,600,100,100,100,100,100,100
252,Treecko,GRASS,,3,310,40,45,35,65,55,70
253,Grovyle,GRASS,,3,405,50,65,45,85,65,95
254,Sceptile (Mega Sceptile),GRASS,DRAGON,3,630,70,110,75,145,85,145
254,Sceptile,GRASS,,3,530,70,85,65,105,85,120
255,Torchic,FIRE,,3,310,45,60,40,70,50,45
256,Combusken,FIRE,FIGHTING,3,405,60,85,60,85,60,55
257,Blaziken,FIRE,FIGHTING,3,530,80,120,70,110,70,80
257,Blaziken (Mega Blaziken),FIRE,,3,630,80,160,80,130,80,100
258,Mudkip,WATER,,3,310,50,70,50,50,50,40
259,Marshtomp,WATER,GROUND,3,405,70,85,70,60,70,50
260,Swampert,WATER,GROUND,3,535,100,110,90,85,90,60
260,Swampert (Mega Swampert),WATER,GROUND,3,635,100,150,110,95,110,70
261,Poochyena,DARK,,3,220,35,55,35,30,30,35
262,Mightyena,DARK,,3,420,70,90,70,60,60,70
263,Zigzagoon,NORMAL,,3,240,38,30,41,30,41,60
264,Linoone,NORMAL,,3,420,78,70,61,50,61,100
265,Wurmple,BUG,,3,195,45,45,35,20,30,20
266,Silcoon,BUG,,3,205,50,35,55,25,25,15
267,Beautifly,BUG,FLYING,3,395,60,70,50,100,50,65
268,Cascoon,BUG,,3,205,50,35,55,25,25,15
269,Dustox,BUG,POISON,3,385,60,50,70,50,90,65
270,Lotad,WATER,GRASS,3,220,40,30,30,40,50,30
271,Lombre,WATER,GRASS,3,340,60,50,50,60,70,50
272,Ludicolo,WATER,GRASS,3,480,80,70,70,90,100,70
273,Seedot,GRASS,,3,220,40,40,50,30,30,30
274,Nuzleaf,GRASS,DARK,3,340,70,70,40,60,40,60
275,Shiftry,GRASS,DARK,3,480,90,100,60,90,60,80
276,Taillow,NORMAL,FLYING,3,270,40,55,30,30,30,85
277,Swellow,NORMAL,FLYING,3,430,60,85,60,50,50,125
278,Wingull,WATER,FLYING,3,270,40,30,30,55,30,85
279,Pelipper,WATER,FLYING,3,430,60,50,100,85,70,65
280,Ralts,PSYCHIC,FAIRY,3,198,28,25,25,45,35,40
281,Kirlia,PSYCHIC,FAIRY,3,278,38,35,35,65,55,50
282,Gardevoir (Mega Gardevoir),PSYCHIC,FAIRY,3,618,68,85,65,165,135,100
282,Gardevoir,PSYCHIC,FAIRY,3,518,68,65,65,125,115,80
283,Surskit,BUG,WATER,3,269,40,30,32,50,52,65
284,Masquerain,BUG,FLYING,3,414,70,60,62,80,82,60
285,Shroomish,GRASS,,3,295,60,40,60,40,60,35
286,Breloom,GRASS,FIGHTING,3,460,60,130,80,60,60,70
287,Slakoth,NORMAL,,3,280,60,60,60,35,35,30
288,Vigoroth,NORMAL,,3,440,80,80,80,55,55,90
289,Slaking,NORMAL,,3,670,150,160,100,95,65,100
290,Nincada,BUG,GROUND,3,266,31,45,90,30,30,40
291,Ninjask,BUG,FLYING,3,456,61,90,45,50,50,160
292,Shedinja,BUG,GHOST,3,236,1,90,45,30,30,40
293,Whismur,NORMAL,,3,240,64,51,23,51,23,28
294,Loudred,NORMAL,,3,360,84,71,43,71,43,48
295,Exploud,NORMAL,,3,490,104,91,63,91,73,68
296,Makuhita,FIGHTING,,3,237,72,60,30,20,30,25
297,Hariyama,FIGHTING,,3,474,144,120,60,40,60,50
298,Azurill,NORMAL,FAIRY,3,190,50,20,40,20,40,20
299,Nosepass,ROCK,,3,375,30,45,135,45,90,30
300,Skitty,NORMAL,,3,260,50,45,45,35,35,50
301,Delcatty,NORMAL,,3,380,70,65,65,55,55,70
302,Sableye,DARK,GHOST,3,380,50,75,75,65,65,50
302,Sableye (Mega Sableye),DARK,GHOST,3,480,50,85,125,85,115,20
303,Mawile,STEEL,FAIRY,3,380,50,85,85,55,55,50
303,Mawile (Mega Mawile),STEEL,FAIRY,3,480,50,105,125,55,95,50
304,Aron,STEEL,ROCK,3,330,50,70,100,40,40,30
305,Lairon,STEEL,ROCK,3,430,60,90,140,50,50,40
306,Aggron (Mega Aggron),STEEL,,3,630,70,140,230,60,80,50
306,Aggron,STEEL,ROCK,3,530,70,110,180,60,60,50
307,Meditite,FIGHTING,PSYCHIC,3,280,30,40,55,40,55,60
308,Medicham (Mega Medicham),FIGHTING,PSYCHIC,3,510,60,100,85,80,85,100
308,Medicham,FIGHTING,PSYCHIC,3,410,60,60,75,60,75,80
309,Electrike,ELECTRIC,,3,295,40,45,40,65,40,65
310,Manectric,ELECTRIC,,3,475,70,75,60,105,60,105
310,Manectric (Mega Manectric),ELECTRIC,,3,575,70,75,80,135,80,135
311,Plusle,ELECTRIC,,3,405,60,50,40,85,75,95
312,Minun,ELECTRIC,,3,405,60,40,50,75,85,95
313,Volbeat,BUG,,3,400,65,73,55,47,75,85
314,Illumise,BUG,,3,400,65,47,55,73,75,85
315,Roselia,GRASS,POISON,3,400,50,60,45,100,80,65
316,Gulpin,POISON,,3,302,70,43,53,43,53,40
317,Swalot,POISON,,3,467,100,73,83,73,83,55
318,Carvanha,WATER,DARK,3,305,45,90,20,65,20,65
319,Sharpedo,WATER,DARK,3,460,70,120,40,95,40,95
319,Sharpedo (Mega Sharpedo),WATER,DARK,3,560,70,140,70,110,65,105
320,Wailmer,WATER,,3,400,130,70,35,70,35,60
321,Wailord,WATER,,3,500,170,90,45,90,45,60
322,Numel,FIRE,GROUND,3,305,60,60,40,65,45,35
323,Camerupt (Mega Camerupt),FIRE,GROUND,3,560,70,120,100,145,105,20
323,Camerupt,FIRE,GROUND,3,460,70,100,70,105,75,40
324,Torkoal,FIRE,,3,470,70,85,140,85,70,20
325,Spoink,PSYCHIC,,3,330,60,25,35,70,80,60
326,Grumpig,PSYCHIC,,3,470,80,45,65,90,110,80
327,Spinda,NORMAL,,3,360,60,60,60,60,60,60
328,Trapinch,GROUND,,3,290,45,100,45,45,45,10
329,Vibrava,GROUND,DRAGON,3,340,50,70,50,50,50,70
330,Flygon,GROUND,DRAGON,3,520,80,100,80,80,80,100
331,Cacnea,GRASS,,3,335,50,85,40,85,40,35
332,Cacturne,GRASS,DARK,3,475,70,115,60,115,60,55
333,Swablu,NORMAL,FLYING,3,310,45,40,60,40,75,50
334,Altaria,DRAGON,FLYING,3,490,75,70,90,70,105,80
334,Altaria (Mega Altaria),DRAGON,FAIRY,3,590,75,110,110,110,105,80
335,Zangoose,NORMAL,,3,458,73,115,60,60,60,90
336,Seviper,POISON,,3,458,73,100,60,100,60,65
337,Lunatone,ROCK,PSYCHIC,3,440,70,55,65,95,85,70
338,Solrock,ROCK,PSYCHIC,3,440,70,95,85,55,65,70
339,Barboach,WATER,GROUND,3,288,50,48,43,46,41,60
340,Whiscash,WATER,GROUND,3,468,110,78,73,76,71,60
341,Corphish,WATER,,3,308,43,80,65,50,35,35
342,Crawdaunt,WATER,DARK,3,468,63,120,85,90,55,55
343,Baltoy,GROUND,PSYCHIC,3,300,40,40,55,40,70,55
344,Claydol,GROUND,PSYCHIC,3,500,60,70,105,70,120,75
345,Lileep,ROCK,GRASS,3,355,66,41,77,61,87,23
346,Cradily,ROCK,GRASS,3,495,86,81,97,81,107,43
347,Anorith,ROCK,BUG,3,355,45,95,50,40,50,75
348,Armaldo,ROCK,BUG,3,495,75,125,100,70,80,45
349,Feebas,WATER,,3,200,20,15,20,10,55,80
350,Milotic,WATER,,3,540,95,60,79,100,125,81
351,Castform,NORMAL,,3,420,70,70,70,70,70,70
352,Kecleon,NORMAL,,3,440,60,90,70,60,120,40
353,Shuppet,GHOST,,3,295,44,75,35,63,33,45
354,Banette,GHOST,,3,455,64,115,65,83,63,65
354,Banette (Mega Banette),GHOST,,3,555,64,165,75,93,83,75
355,Duskull,GHOST,,3,295,20,40,90,30,90,25
356,Dusclops,GHOST,,3,455,40,70,130,60,130,25
357,Tropius,GRASS,FLYING,3,460,99,68,83,72,87,51
358,Chimecho,PSYCHIC,,3,425,65,50,70,95,80,65
359,Absol,DARK,,3,465,65,130,60,75,60,75
359,Absol (Mega Absol),DARK,,3,565,65,150,60,115,60,115
360,Wynaut,PSYCHIC,,3,260,95,23,48,23,48,23
361,Snorunt,ICE,,3,300,50,50,50,50,50,50
362,Glalie,ICE,,3,480,80,80,80,80,80,80
362,Glalie (Mega Glalie),ICE,,3,580,80,120,80,120,80,100
363,Spheal,ICE,WATER,3,290,70,40,50,55,50,25
364,Sealeo,ICE,WATER,3,410,90,60,70,75,70,45
365,Walrein,ICE,WATER,3,530,110,80,90,95,90,65
366,Clamperl,WATER,,3,345,35,64,85,74,55,32
367,Huntail,WATER,,3,485,55,104,105,94,75,52
368,Gorebyss,WATER,,3,485,55,84,105,114,75,52
369,Relicanth,WATER,ROCK,3,485,100,90,130,45,65,55
